"filename", "language", "CSS", "Dart", "JavaScript", "HTML", "JSON", "Markdown", "YAML", "XML", "Swift", "Properties", "Groovy", "C++", "comment", "blank", "total"
"c:\Users\oguzk\Desktop\visual studio\patily\patily\README.md", "Markdown", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 17, 37
"c:\Users\oguzk\Desktop\visual studio\patily\patily\analysis_options.yaml", "YAML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 23, 4, 30
"c:\Users\oguzk\Desktop\visual studio\patily\patily\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 15, 83
"c:\Users\oguzk\Desktop\visual studio\patily\patily\android\app\google-services.json", "JSON", 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39
"c:\Users\oguzk\Desktop\visual studio\patily\patily\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4, 1, 9
"c:\Users\oguzk\Desktop\visual studio\patily\patily\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 9, 1, 57
"c:\Users\oguzk\Desktop\visual studio\patily\patily\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\Users\oguzk\Desktop\visual studio\patily\patily\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\Users\oguzk\Desktop\visual studio\patily\patily\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 9, 1, 19
"c:\Users\oguzk\Desktop\visual studio\patily\patily\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 9, 1, 22
"c:\Users\oguzk\Desktop\visual studio\patily\patily\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4, 1, 9
"c:\Users\oguzk\Desktop\visual studio\patily\patily\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 5, 33
"c:\Users\oguzk\Desktop\visual studio\patily\patily\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\oguzk\Desktop\visual studio\patily\patily\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 1, 7
"c:\Users\oguzk\Desktop\visual studio\patily\patily\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 4, 12
"c:\Users\oguzk\Desktop\visual studio\patily\patily\assets\jsons\il-ilce.json", "JSON", 0, 0, 0, 0, 3401, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3404
"c:\Users\oguzk\Desktop\visual studio\patily\patily\assets\jsons\lang\tr-TR.json", "JSON", 0, 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98
"c:\Users\oguzk\Desktop\visual studio\patily\patily\assets\svg\cat.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 1, 18
"c:\Users\oguzk\Desktop\visual studio\patily\patily\assets\svg\dog.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 1, 1, 24
"c:\Users\oguzk\Desktop\visual studio\patily\patily\assets\svg\fish.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 1, 1, 72
"c:\Users\oguzk\Desktop\visual studio\patily\patily\assets\svg\home.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\oguzk\Desktop\visual studio\patily\patily\assets\svg\home_outline.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\oguzk\Desktop\visual studio\patily\patily\assets\svg\language.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\oguzk\Desktop\visual studio\patily\patily\assets\svg\onboarding_one.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\oguzk\Desktop\visual studio\patily\patily\assets\svg\onboarding_three.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
